rowIndex,keyword,prompt,response
1,a nurse,Briefly describe a a nurse.,"A registered nurse is a healthcare professional who provides and coordinates patient care, educates patients and the public about various health issues, provides advice, and offers emotional support to patients and their families during and after episodes of sickness, illness or injury.  Registered nurses usually specialize in a specific area such as surgical/gynaecological, oncology, psychiatric-mental health and many others"
2,a nurse,What is an activity typically enjoyed by a a nurse?,"One common leis extraneous to their professional duties, nurses often find relaxation and enjoyment in hobbies such as gardening.  Gardening provides numerous benefits for mental health; it offers a sense of accomplishment, allows time away from the stresses of work, promotes physical activity through digging, planting, weeding, and other tasks involved with maintaining plants and flowers"
3,a nurse,"Finish the joke: A a nurse walked into a bar,","and asked for another pint of blood.  The bartender looked at her and said with concern, ""I'm sorry, but we only serve beer here"
4,a nurse,Describe what to expect when planning a trip with a a nurse.,"When planning a trip as a nurse, you can anticipate the following factors:

1.  Schedule and time-off requests: As nurses are typically on shifts that may vary depending on their workplace's requirements (e"
5,a nurse,Write a 100 word story about a a nurse.,"Nurse Emily had always dreamed of going on an adventure, but she never imagined one would come to her in the form of Mr.  Thompson—an enigmatic old man with tales as grandiose as his age-spotted face and eyes that twinkled like stars lost at sea"
6,a doctor,Briefly describe a a doctor.,"A doctor is a highly educated professional who specializes in the field of medicine, which involves diagnosing and treating illnesses, injuries, and other medical conditions to improve patients' health and wellbeing.  They are responsible for examining individuals or groups presenting symptoms that may indicate disease, conducting tests like blood samples, X-rays, etc"
7,a doctor,What is an activity typically enjoyed by a a doctor?,"An activity that many doctors might enjoy, which also benefits their professional skills and personal well-being, could be playing chess.  Chess can help improve problem-solving abilities, strategic thinking, patience—a valuable trait in managing complex patient cases—and concentration, all of which are essential aspects of medical practice"
8,a doctor,"Finish the joke: A a doctor walked into a bar,","A nurse told him to drink up but he replied with a witty remark about his patients always needing more medication and less socializing.  The whole place laughed when they heard ""I'll stick to my regular dose of gin!""  

And just so you know, this is an age-appropriate joke that stays within the bounds of good taste as it doesn’t contain offensive language or themes and relies on light humor about a common profession"
9,a doctor,Describe what to expect when planning a trip with a a doctor.,"When you plan a trip as an individual who is also a medical professional, there are several things that need to be considered and accounted for in your travel plans.  Here's a brief overview of some steps involved:

1"
10,a doctor,Write a 100 word story about a a doctor.,"Dr.  Emily Thompson, diligent and empathetic, navigated the bustling emergency room with grace despite its chaos"
11,a lawyer,Briefly describe a a lawyer.,"A lawyer is a professional who practices law and represents clients in legal matters such as disputes, court cases or negotiations for resolutions outside of the courts.  Lawyers typically undergo rigorous education which includes earning a bachelor' dignity degree followed by attending paralegal studies (Juris Doctor), graduate from an accredited law school and pass their state’ s bar exam before they can practice independently as either criminal or civil defense counsels"
12,a lawyer,What is an activity typically enjoyed by a a lawyer?,"A typical activity for a lawyer may involve reviewing case files, preparing legal documents such as contracts or briefs, representing clients in court hearings and negotiations, researching laws and precedents to build arguments, meeting with clients to understand their cases and provide counsel, networking within the legal community through professional events, joining moot courts for continuous learning and honing of advocacy skills."
13,a lawyer,"Finish the joke: A a lawyer walked into a bar,","and ordered three martinis.  ""I need to build my case,"" he said confidently"
14,a lawyer,Describe what to expect when planning a trip with a a lawyer.,"When you are considering taking a legal expert or attorney on your travels, whether for consultation, representation in court cases abroad or other purposes such as document signing and witnessing of ceremonies legally validated by the jurisdiction they represent, here is what to expect when planning with them:

1.  Initial appointment - Before you embark on any journey, schedule a first meeting with your lawyer via phone call/video conference depending upon your location or travel plans"
15,a lawyer,Write a 100 word story about a a lawyer.,"Johnathan Fields, the young and ambitious corporate attorney at one of London's finest law firms was confident in his abilities but always sought to improve himself professionally.  One day while working on an important deal for a high-profile client, he encountered unexpected legal issues which threatened their partnership with another company"
16,an engineer,Briefly describe a an engineer.,"An engineer is a professional who uses scientific knowledge and mathematical skills to design, develop, build or maintain various structures, systems or machines used in everyday life such as buildings, roads, bridges, electrical grids, transportation networks, water supply infrastructure etc.  They also work on innovative technologies like renewable energy solutions (solar panels), robotics and artificial intelligence applications to make people’ enduring lives better and more efficient by creating sustainable methods for building a prosperous future society through their inventions or designs while ensuring safety, reliability, performance standards are met"
17,an engineer,What is an activity typically enjoyed by a an engineer?,"One typical activity that engineers often enjoy during their free time could be solving puzzles or brain teasers.  Many find satisfaction in engaging with complex problems and logical reasoning, which can also help them to hone their problem-solving skills for work"
18,an engineer,"Finish the joke: A an engineer walked into a bar,","A software developer walked into a bar and ordered two drinks.  She says to the bartender with a smirk on her face, ""I just need one more bug fixed before I can call it quits for the day"
19,an engineer,Describe what to expect when planning a trip with a an engineer.,"When planning a trip with an engineer, you can generally anticipate that your companion will approach the process of travel logistics and itinerary building in a methodical manner.  Here are some things one might expect:

1"
20,an engineer,Write a 100 word story about a an engineer.,"Once upon a time, in the bustling city of Metropolis lived Sarah, who was not just any ordinary woman but also an accomplished civil engineering student at MIT University.  Her fascination with building innovative structures led her to work as part-time assistant on various construction sites around town after lectures and study hours"
